FID IID bestpop_oneweek
0 9828658127_R04C01 eur
0 9828658140_R02C01 eur
0 9828658140_R03C01 eur
0 9828658141_R04C01 eur
0 9828658156_R03C01 eur
0 9828658157_R02C01 eur
0 9829125009_R03C01 eur
0 9829125020_R03C01 eur
0 9828658132_R01C01 eur
0 9828658132_R02C01 eur
0 9828658132_R03C01 eur
0 9829125024_R01C01 eur
0 9829125024_R03C01 aam
0 9348679019_R03C01 eur
0 9348679003_R01C01 eur
0 9829125027_R02C01 aam
0 9829181002_R02C01 eur
0 9829181011_R03C01 eur
0 9829181016_R04C01 eur
0 9853746043_R02C01 eur
0 9853746044_R03C01 eur
0 9853746069_R04C01 aam
0 9853746074_R01C01 eur
0 9853746074_R03C01 eur
0 9853746126_R02C01 eur
0 9853746126_R04C01 eur
0 202381640013_R01C01 eur
0 202381640013_R03C01 eur
0 202381640013_R04C01 eur
0 202381640013_R05C01 eur
0 202410230017_R05C01 eur
0 202410230017_R06C01 eur
0 202410230017_R07C01 eur
0 202381640001_R02C01 eur
0 202381640001_R03C01 eur
0 202381640001_R05C01 eur
0 202381640001_R07C01 eur
0 202381640001_R08C01 eur
0 202381640003_R02C01 eur
0 202381640003_R03C01 eur
0 202381640003_R04C01 eur
0 202381640003_R05C01 eur
0 202381640003_R06C01 eur
0 202381640003_R07C01 eur
0 202381640003_R08C01 eur
0 202566680021_R01C01 lat
0 202566680021_R06C01 eur
0 202566680065_R01C01 eur
0 202566680065_R04C01 lat
0 202566680065_R05C01 eur
0 202566680065_R06C01 eur
0 202566680065_R08C01 aam
0 3998646147_R02C01 aam
0 3998646147_R07C01 eur
0 3998646158_R06C01 aam
0 3998646158_R07C01 eur
0 3998646158_R08C01 oth
0 3998646009_R05C01 eur
0 3998646009_R08C01 eur
0 3998646012_R03C01 eur
0 3998646012_R04C01 eur
0 3998646012_R05C01 eur
0 3998646012_R08C01 eur
0 3998646112_R01C01 eur
0 3998646112_R05C01 eur
0 3998646114_R02C01 eur
0 3998646122_R05C01 eur
0 3998646122_R06C01 eur
0 3998646136_R01C01 aam
0 3998646136_R04C01 eur
0 3998646136_R05C01 eur
0 3998646136_R07C01 eur
0 3998646007_R02C01 eur
0 3998646007_R04C01 eur
0 3998646010_R08C01 eur
0 3998646018_R05C01 aam
0 3998646018_R07C01 eur
0 3998646026_R01C01 eur
0 3998646026_R02C01 eur
0 3998646040_R02C01 eur
0 3998646040_R08C01 aam
0 3998646041_R01C01 aam
0 3998646041_R03C01 eur
0 3998646041_R08C01 eur
0 3998646044_R05C01 eur
0 3998646055_R06C01 eur
0 3998646055_R07C01 eur
0 3998646065_R02C01 eur
0 3998646065_R04C01 eur
0 3998646065_R05C01 eur
0 3998646065_R06C01 eur
0 3998646070_R02C01 eur
0 9964045139_R05C01 eur
0 9964045140_R08C01 eur
0 9964045141_R04C01 eur
0 9964045102_R01C01 eur
0 9964045102_R02C01 eur
0 9964045102_R03C01 aam
0 9964045102_R06C01 eur
0 9964045112_R05C01 eur
0 9964045112_R07C01 eur
0 9964045113_R02C01 aam
0 9964045113_R03C01 eur
0 9964045113_R04C01 eur
0 9964045113_R06C01 aam
0 9964045115_R04C01 eur
0 9964045115_R07C01 eur
0 9964045115_R08C01 aam
0 9964045093_R04C01 eur
0 9964045093_R07C01 oth
0 9964045093_R08C01 eur
0 9964045117_R02C01 eur
0 9964045117_R03C01 eur
0 9964045117_R04C01 eur
0 9964045117_R05C01 eur
0 9964045117_R06C01 eur
0 9964045119_R02C01 oth
0 9964045119_R03C01 eur
0 9964045119_R05C01 eur
0 9964045119_R08C01 eur
0 9964045128_R01C01 eur
0 9964045128_R05C01 eur
0 9964045128_R07C01 eur
0 9964045128_R08C01 eur
0 9964045129_R02C01 eur
0 9964045129_R07C01 eur
0 9964045133_R03C01 eur
0 9964045133_R05C01 lat
0 9964045133_R06C01 eur
0 9964045133_R08C01 eur
0 9964045134_R02C01 eur
0 201398930004_R05C01 eur
0 201398930009_R02C01 eur
0 201398400035_R07C01 eur
0 201398400035_R08C01 eur
0 201398400045_R01C01 eur
0 201398400045_R06C01 eur
0 201398400056_R01C01 eur
0 201398400056_R03C01 eur
0 201398400056_R08C01 eur
0 201398930120_R08C01 eur
0 201398400130_R01C01 eur
0 201962800123_R04C01 eur
0 201962800123_R08C01 eur
0 201962800133_R05C01 eur
0 201962800133_R08C01 eur
0 201962800049_R01C01 eur
0 201962800049_R03C01 aam
0 201962800049_R04C01 eur
0 201962800049_R05C01 eur
0 201962800051_R01C01 eur
0 201962800051_R02C01 eur
0 201962800051_R03C01 eur
0 201962800051_R04C01 eur
0 201962800051_R07C01 eur
0 201962800025_R02C01 eur
0 201962800025_R05C01 eur
0 201962800025_R07C01 eur
0 201962800025_R08C01 eur
0 201962800080_R01C01 eur
0 201962800080_R02C01 eur
0 201962800080_R05C01 eur
0 201962800080_R06C01 eur
0 201962800080_R08C01 eur
0 202030460085_R06C01 eur
0 202030460085_R07C01 aam
0 202030460087_R06C01 eur
0 202030460087_R08C01 eur
0 202046900019_R07C01 eur
0 202046900021_R02C01 eur
0 202046900021_R03C01 eur
0 202046900021_R04C01 eur
0 202046900021_R05C01 eur
0 202114830026_R03C01 eur
0 202114830026_R06C01 eur
0 202114830026_R08C01 eur
0 202114830093_R01C01 eur
0 202114830093_R02C01 eur
0 202114830093_R06C01 aam
0 202114830093_R07C01 aam
0 202114830093_R08C01 aam
0 201962800026_R02C01 eur
0 201962800026_R08C01 eur
0 201962800076_R05C01 aam
0 201962800081_R03C01 pue
0 201962800139_R08C01 aam
0 201962800079_R01C01 nat
0 201962800079_R02C01 eur
0 201962800079_R06C01 eur
0 201962800079_R08C01 eur
0 201962800141_R06C01 eur
0 201962800141_R07C01 eur
0 201962800055_R01C01 eur
0 201962800055_R04C01 lat
0 201962800055_R05C01 aam
0 201962800055_R07C01 eur
0 201962800018_R07C01 eur
0 201962800030_R01C01 eur
0 201962800030_R04C01 eur
0 201962800038_R02C01 eur
0 201962800038_R05C01 aam
0 201962800038_R06C01 eur
0 201962800045_R02C01 aam
0 201962800045_R03C01 eur
0 201962800045_R06C01 eur
0 201962800045_R07C01 eur
0 201962800065_R01C01 eur
0 201962800065_R04C01 oth
0 201962800065_R05C01 oth
0 201962800065_R08C01 aam
0 201962800102_R01C01 aam
0 201962800102_R03C01 aam
0 201962800102_R05C01 aam
0 201962800138_R03C01 eur
0 201962800056_R05C01 eur
0 201962800057_R02C01 oth
0 201962800057_R05C01 eur
0 201962800100_R06C01 eur
0 201962800100_R07C01 aam
