FID IID bestpop_oneweek
0 9829125020_R04C01 eur
0 9828658132_R03C01 eur
0 9829125024_R03C01 aam
0 9853746074_R01C01 eur
0 202381640013_R01C01 eur
0 202410230017_R07C01 eur
0 202410230017_R08C01 eur
0 202381640001_R03C01 eur
0 202566680065_R04C01 lat
0 202566680065_R08C01 aam
0 3998646158_R08C01 oth
0 3998646009_R05C01 eur
0 3998646009_R08C01 eur
0 3998646010_R08C01 eur
0 3998646065_R04C01 eur
0 3998646065_R06C01 eur
0 9964675031_R06C01 aam
0 9964045112_R07C01 eur
0 9964045115_R04C01 eur
0 9964045093_R03C01 aam
0 9964045093_R04C01 eur
0 9964045119_R06C01 aam
0 9964045128_R07C01 eur
0 9964045129_R07C01 eur
0 201398400045_R07C01 eur
0 201398400056_R01C01 eur
0 201398400056_R08C01 eur
0 201398400130_R01C01 eur
0 201962800123_R08C01 eur
0 201962800049_R04C01 eur
0 201962800051_R01C01 eur
0 201962800080_R02C01 eur
0 201962800080_R05C01 eur
0 202114830093_R02C01 eur
0 202114830093_R08C01 aam
0 201962800026_R06C01 aam
0 201962800076_R05C01 aam
0 201962800076_R06C01 aam
0 201962800081_R08C01 aam
0 201962800037_R06C01 eur
0 201962800045_R02C01 aam
0 201962800065_R04C01 oth
0 201962800065_R08C01 aam
0 201962800056_R05C01 eur
0 201962800057_R02C01 oth
0 201962800057_R04C01 eur
0 201962800100_R08C01 eur
0 201962800110_R07C01 eur
